Timestamp,Deduplication ID,Time Seconds,Tenant ID,Tenant Name,Application ID,Application Name,Device Profile ID,Device Profile Name,Device Name,Dev EUI,Dev Addr,Dr,fPort,Data Hex,F Count,rxInfo Gateway ID,rxInfo Uplink ID,rxInfo RSSI,rxInfo SNR,rxInfo Context,txInfo Frequency,Modulation-lora txInfo Bandwidth,Modulation-lora Spreading Factor,Modulation-lora Code Rate
1713861526,22c11045-a6c3-4601-8b51-cac0625fc7ce,1713861526,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 152,0001000000000098,02000090,5,1,a1,76,0001000000000007,55046,-114,3.4000000953674316,b'{s\xaa>',867100000,125000,7,1
1713861526,792b7e92-894c-4cf8-8484-376372637baf,1713861526,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 448,00010000000001c0,020001b8,2,1,87,76,0001000000000005,55942,-132,-15.199999809265137,b'{w9)',867700000,125000,10,1
1713861526,792b7e92-894c-4cf8-8484-376372637baf,1713861526,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 448,00010000000001c0,020001b8,2,1,87,76,0001000000000002,32174,-130,-12.699999809265137,b'{w9A',867700000,125000,10,1
1713861526,792b7e92-894c-4cf8-8484-376372637baf,1713861526,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 448,00010000000001c0,020001b8,2,1,87,76,0001000000000007,45518,-124,-7.199999809265137,b'{w9\x0c',867700000,125000,10,1
1713861526,792b7e92-894c-4cf8-8484-376372637baf,1713861526,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 448,00010000000001c0,020001b8,2,1,87,76,0001000000000006,52022,-113,3.9000000953674316,b'{w8\xed',867700000,125000,10,1
1713861527,c4d6b415-42e4-4845-9052-02e25419b85e,1713861527,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 452,00010000000001c4,020001bc,5,1,ea08d5c79ce94ff5abf559905fbae361d3aad140e4ec1087,15,0001000000000005,55064,-110,6.699999809265137,b'{\x8a\x9b!',868300000,125000,7,1
1713861527,56400b28-6654-4abe-93b8-d61e2383dd9f,1713861527,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 199,00010000000000c7,020000bf,0,1,84,30,0001000000000004,34173,-120,-2.9000000953674316,b'{\x8d\xb2\xb2',867300000,125000,12,1
1713861528,476d6e2c-f8e9-4a24-9edb-d6e63e7a227a,1713861527,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 399,000100000000018f,02000187,1,1,98,69,0001000000000004,11989,-119,-2.299999952316284,b'{\x8e\xd9\x95',868100000,125000,11,1
1713861528,476d6e2c-f8e9-4a24-9edb-d6e63e7a227a,1713861527,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 399,000100000000018f,02000187,1,1,98,69,0001000000000003,62176,-113,3.799999952316284,b'{\x8e\xd9\xc3',868100000,125000,11,1
1713861528,476d6e2c-f8e9-4a24-9edb-d6e63e7a227a,1713861527,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 399,000100000000018f,02000187,1,1,98,69,0001000000000002,35015,-131,-13.899999618530273,b'{\x8e\xda\x00',868100000,125000,11,1
1713861528,476d6e2c-f8e9-4a24-9edb-d6e63e7a227a,1713861527,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 399,000100000000018f,02000187,1,1,98,69,0001000000000007,63036,-136,-19.399999618530273,b'{\x8e\xda\x15',868100000,125000,11,1
1713861528,476d6e2c-f8e9-4a24-9edb-d6e63e7a227a,1713861527,72a76e2b-3775-4ec1-969c-e8203ba78fd3,ELoRa-1,624dfdb8-9b24-4c49-a653-1ab77a5cbf63,Ns-3 Application,e065bddd-66c1-4ad9-819a-21802da82e18,Ns-3 Device Profile,Device 399,000100000000018f,02000187,1,1,98,69,0001000000000005,6713,-131,-13.800000190734863,b'{\x8e\xd9\xd3',868100000,125000,11,1
